id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000531,1.41,27.64%,2017-06-30,88.66%,11.34%,0.00%,1.44
000532,3.02,32.35%,2017-06-30,0.36%,99.64%,0.00%,1.87
000533,300.25,4.21%,2017-06-30,96.75%,3.25%,0.00%,287.29
000534,4.17,-3.05%,2017-06-30,0.20%,99.80%,0.44%,3.13
000535,1.44,-14.27%,2017-06-30,0.33%,99.67%,0.00%,1.69
000536,0.44,10.64%,2017-06-30,56.66%,43.34%,0.00%,0.19
000538,3.74,2.09%,2017-06-30,2.08%,97.92%,0.00%,4.81
000539,797.82,3.94%,2017-06-30,0.29%,99.71%,0.12%,206.42
000540,83.58,4.15%,2017-06-30,6.67%,93.33%,0.00%,108.86
000541,6.50,-19.43%,2017-06-30,37.95%,62.05%,0.01%,8.20
000542,8.66,3.41%,2017-06-30,4.93%,95.07%,0.40%,9.05
000543,30.47,3.66%,2017-06-30,99.96%,0.04%,0.00%,135.03
000545,7.58,-33.33%,2017-06-30,9.35%,90.65%,0.20%,10.05
000546,9.99,3.08%,2017-06-30,38.84%,61.16%,0.00%,8.93
000547,0.88,6.09%,2017-06-30,0.00%,100.00%,0.54%,0.45
000548,10.10,--,-,-,-,-,-
000549,2.07,-0.12%,2017-06-30,3.79%,96.21%,0.12%,1.38
000550,9.43,-3.43%,2017-06-30,4.73%,95.27%,0.02%,5.25
000551,0.15,16.41%,2017-06-30,21.30%,78.70%,1.90%,0.10
000552,5.48,3.29%,2017-06-30,57.52%,42.48%,0.06%,5.02
000553,0.74,2.83%,2017-06-30,0.35%,99.65%,0.90%,0.68
000554,8.39,5.92%,2017-06-30,66.54%,33.46%,0.01%,5.34
000556,0.41,7.75%,2017-06-30,0.00%,100.00%,0.14%,0.41
000557,0.66,7.15%,2017-06-30,59.24%,40.76%,0.10%,1.39
000559,2.23,3.98%,2017-06-30,2.52%,97.48%,0.23%,0.48
000560,11.37,4.17%,2017-06-30,1.11%,98.89%,0.14%,0.92
000561,0.09,-0.19%,2017-06-30,99.48%,0.52%,0.00%,27.65
000562,0.08,-0.38%,2017-06-30,55.55%,44.45%,0.00%,0.09
000563,4.47,1.07%,2017-06-30,54.06%,45.94%,0.00%,13.23
000564,2.21,0.78%,2017-06-30,29.43%,70.57%,0.01%,4.71
000566,3.43,26.97%,2017-06-30,27.87%,72.13%,0.53%,0.99
000567,4.00,10.05%,2017-06-30,13.21%,86.79%,3.21%,2.76
000569,62.58,4.01%,2017-06-30,6.00%,94.00%,0.00%,95.12
000571,0.80,-14.41%,2017-06-30,85.03%,14.97%,0.00%,1.15
000572,8.19,9.60%,2017-06-30,89.51%,10.49%,0.87%,6.43
000573,8.32,5.71%,2017-06-30,94.50%,5.50%,0.00%,10.22
000574,12.68,-4.30%,2017-06-30,3.34%,96.66%,0.01%,12.40
000575,442.86,4.03%,2017-06-30,48.46%,51.54%,0.15%,473.41
000576,4.51,3.84%,2017-06-30,3.95%,96.05%,0.00%,0.78
000577,42.64,27.87%,2017-06-30,76.31%,23.69%,0.30%,10.71
000578,0.87,-0.46%,2017-06-30,85.73%,14.27%,0.13%,0.95
000579,0.10,-0.92%,2017-06-30,8.10%,91.90%,0.96%,0.14
000580,45.56,4.09%,2017-06-30,99.54%,0.46%,0.00%,42.08
